id,rating,genre,theater_date,box_office,runtime,studio
1044,R,Drama,"Feb 9, 2007",1566027.0,89.0,MGM
1657,NR,Action and Adventure,"Feb 23, 2018",1526248.0,141.0,
1981,NR,Comedy|Drama,"Oct 5, 2012",1416189.0,129.0,Eros Entertainment
427,PG,Art House and International|Drama,"Dec 13, 2002",1341151.0,96.0,MGM/UA
1976,NR,Action and Adventure|Art House and International,"Feb 17, 2016",1320005.0,123.0,Buffalo Films
505,R,Comedy,"May 31, 2013",1300000.0,95.0,CBS Films
1567,NC17,Comedy,"Sep 24, 2004",1260219.0,89.0,New Line Cinema
490,NR,Action and Adventure|Art House and International,,1231550.0,145.0,Eros Entertainment
1564,PG-13,Comedy,"Aug 14, 2009",1149350.0,89.0,Overture Films
1398,PG,Drama|Kids and Family|Faith and Spirituality,"Apr 9, 2010",1121000.0,110.0,Vivendi Entertainment
1046,R,Drama,"May 7, 2010",1110286.0,126.0,Sony Pictures Classics
22,R,Comedy|Drama|Mystery and Suspense,"Dec 17, 2010",1039869.0,108.0,ATO Pictures
108,R,Comedy|Drama|Kids and Family,"Apr 16, 2010",1000000.0,93.0,Roadside Attractions
274,R,Action and Adventure|Drama|Western,"Jan 29, 2016",976847.0,97.0,
1055,R,Art House and International|Drama,"Dec 21, 2001",948054.0,98.0,United Artists Pictures
1986,PG,Art House and International|Comedy|Drama,"Aug 30, 2002",794306.0,97.0,
1265,PG-13,Comedy|Drama,"Apr 20, 2012",793352.0,103.0,Sony Pictures Classics
1931,PG-13,Drama,"Sep 29, 2017",766428.0,,Sony Pictures Classics
1113,R,Comedy|Drama,"Aug 6, 2010",723714.0,112.0,Paramount Pictures
1231,R,Mystery and Suspense|Science Fiction and Fantasy|Western,"Jun 13, 2014",709133.0,103.0,A24 Films
1553,NR,Action and Adventure|Drama|Mystery and Suspense|Romance,,707672.0,161.0,Reliance Entertainment
833,PG-13,Action and Adventure|Comedy|Drama,"Jul 31, 2008",700000.0,90.0,
3,R,Drama|Science Fiction and Fantasy,"Aug 17, 2012",600000.0,108.0,Entertainment One
1081,R,Action and Adventure|Art House and International|Classics|Drama|Romance,"May 28, 2010",600000.0,126.0,Newmarket Films
596,G,Documentary|Special Interest,"Aug 17, 2007",598103.0,86.0,Paramount Vantage
